url,title,menu_title,description
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_FreeRTOS_FAT_FIFO_94aaed80ffj.html,FreeRTOS+FAT FIFO - FreeRTOS,,"FreeRTOS+FAT FIFOPosted by zetter on September 28, 2018Hi, we’re using FreeRTOS+FAT for storing sensor data. One FreeRTOS task is collecting data and writing it to a file, while another task is reading from it and uploading data to a server. The data is chunked, and we’re currently writing one line in the file for each …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_ulTaskNotifyTake_slow_performance_070da3f5j.html,ulTaskNotifyTake slow performance? - FreeRTOS,,"ulTaskNotifyTake slow performance?Posted by mrbietola on September 20, 2018Hi, i’m using Microblaze. My freertos tick is 10ms. I have 2 tasks. One of them send a synch to a camera every 20 ms (50 Hz rate) The other task should be awaken by an event, so i used ulTaskNotifyTake with a timeout. Now i’m not …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Is_there_a_possible_Interrupt_c58d9f47ffj.html,Is there a possible Interrupt? - FreeRTOS,,"Is there a possible Interrupt?Posted by gibsonpw on September 25, 2018Hi, assuming FreeRTOS runs at a frequency of 1000 Hz (max. recommended) so the shortest possible execution time of a task is 1ms, right?! For example, the code shows two tasks which get executed 1ms each. ~~~ static void taskOne( void *pvParameters ) { for( …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_FreeRTOS_not_initializing_after_jumping_from_bootloader_e37da3a8cdj.html,FreeRTOS not initializing after jumping from bootloader - FreeRTOS,,"FreeRTOS not initializing after jumping from bootloaderPosted by mslavov on September 28, 2018Hello, I have been developing a firmware application for our STM32F746 – based product. The idea idea to have a bootloader code that can do firmware update and/or jump to the application. I have been using IAR Embedded Workbench for my development, with …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_PIC24FJ1024GB610_Amazon_FreeRTOS_1596a284j.html,PIC24FJ1024GB610 & Amazon FreeRTOS - FreeRTOS,,"PIC24FJ1024GB610 & Amazon FreeRTOSPosted by tinchogleria on September 6, 2018Hi everyone! Not sure if this is the right place to post this, please let me know if I should move it. I’m working on my thesis project. I have an app running over FreeRTOS v9.0.0 and I need to implement a mechanism to update the …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_c55x_Port_-_eZDSP_C5535_Port_e0be5f77j.html,c55x Port - eZDSP C5535 Port - FreeRTOS,,"c55x Port – eZDSP C5535 PortPosted by westmorelandeng on September 7, 2018Hello All, I would like to post a port for the TI c55x family – I’ve tried to put it here: https://interactive.freertos.org/hc/en-us/community/posts/360022452652-c55x-Port-eZDSP-C5535-Port Some details: The workspace you want to grab is here: eZDSP->eZDSP5535Files->ccsws2 Within that is dir->test – that is the project you want …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Sending_a_structure_that_has_an_character_array_using_xQueueSend_d229b410j.html,Sending a structure that has an character array using xQueueSend() - FreeRTOS,,"Sending a structure that has an character array using xQueueSend()Posted by saadsaeed on September 14, 2018Hello. I have a simple problem I want to ask I am sending a struct through freertos queue ~~~ //Structure to pass to a queue typedef struct { char mess[2000]; int id; }queuemessagepassingstruct ~~~ When I have copied the contents …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Atmel_SAMG55_and_USB_MS_Host_intermittend_problem_3f442466j.html,Atmel SAMG55 and USB MS Host intermittend problem - FreeRTOS,,"Atmel SAMG55 and USB MS Host intermittend problemPosted by przemekg on September 10, 2018Hi , I am running freeRTOS 10.1 on Atmel SAMG55, using Atmel frame work and fatFS. USB stack is interrupt driven. I experienced lots of problems with intermittent system freeze during writing files to USB MS. Writing to the USB MS works …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_FreeRTOS_notifications_with_serial_bus_DMAs_a187e779j.html,FreeRTOS notifications with serial bus DMAs - FreeRTOS,,"FreeRTOS notifications with serial bus DMAsPosted by *anonymous on September 5, 2018This can be removed FreeRTOS notifications with serial bus DMAsPosted by rtel on September 5, 2018That should not happen as if the interrupt calls vTaskNotifyGiveFromISR() the receiving task’s notification value is incremented – and therefore latched. That means, if the receiving task calls ulTaskNotifyTake() …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_FREERTOS_Porting_for_NXP_MIMXRT1052_Microcontroller_251fe596e6j.html,FREERTOS Porting for NXP MIMXRT1052 Microcontroller - FreeRTOS,,"FREERTOS Porting for NXP MIMXRT1052 MicrocontrollerPosted by senthilnathan on September 28, 2018We’ve like to know that Neither FreeRTOS already porting with MIMXRT1052 Microcontroller FREERTOS Porting for NXP MIMXRT1052 MicrocontrollerPosted by xz8987f on September 28, 2018The i.MX RT1052 is an ARM Cortex-M7, so that port applies for it. You can see it for example here: https://github.com/ErichStyger/mcuoneclipse/tree/master/Examples/MCUXpresso/i.MX%20RT1050EVK/MIMXRT1052LCD/FreeRTOS …"
